trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.5, 'e': 0.34996746527661304}",20,9,1.4996707425409102,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.3467513267018855}",25,6,-47.06140246345506,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.3384598495824275}",35,21,-31.902912252679823,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.5, 'e': 0.33450258213054906}",30,19,-20.366944690450424,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.5, 'e': 0.33216990682996345}",25,14,-30.63906627815056,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.32970983411337557}",25,0,-89.52154750841271,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
162,False,"{'a': 0.5, 'e': 0.32447449308493914}",25,13,9.733252174928815,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.322229810931798}",25,13,12.080265850860087,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.3200704361696569}",25,14,-4.846138835008523,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.31806979326189316}",20,0,-104.49570330352202,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
166,False,"{'a': 0.5, 'e': 0.3145959498225802}",30,14,-15.5752596451249,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.3118846827385881}",20,8,-35.29529357442552,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.3098904528359601}",20,0,9.243177114346317,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.3065447187453387}",20,10,-36.3071069145051,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.3049000725109787}",20,11,19.95369804780798,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.30345587209955277}",20,0,-26.98860818936242,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.30028061419439595}",25,0,19.51002709303706,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.2965149813147826}",20,12,-27.628600179128238,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.2958149813147826}",30,2,-27.706427995340572,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 1}",1
175,False,"{'a': 0.5, 'e': 0.29511498131478264}",25,5,20.748093501689244,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.29441498131478266}",20,8,-0.6297570260614813,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.2937149813147827}",30,18,-14.124606101317486,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.2930149813147827}",20,16,7.021185446059637,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.29231498131478273}",20,0,29.800879338045842,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.29161498131478275}",20,9,22.36983350911373,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.2909149813147828}",20,3,25.374243468537756,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.2902149813147828}",25,0,-23.00655498034466,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
183,False,"{'a': 0.5, 'e': 0.2895149813147828}",25,9,-36.49122779001112,"{0: 13, 1: 0, 2: 0, 3: 3, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.28881498131478284}",20,8,14.890440435239794,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.28811498131478286}",20,12,9.555544045358008,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.2874149813147829}",20,12,-39.91995592142747,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
187,False,"{'a': 0.5, 'e': 0.2867149813147829}",20,7,17.857911662190933,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
